Запрос,Цена,Дата,Источник,Строка
"список цен с источником, датой и ценой на ""Строп канатный УСК1 4т L5m 1-вет.""",3604 р,,ropesystems.ru,ropesystems.ru
"список цен с источником, датой и ценой на ""Лист горячекатанный B1250mm L2500mm s3mm Ст3 ГОСТ 19903-2015 73,59кг""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Резьба DN50мм""",42.12 р,50 ГОСТ 3262,metal100.ru,"nnovgorod.metal100.ru. Резьба 50 ГОСТ 3262-75 L=45 оцинкованная, цена — 42,12 рубля за штуку, источник — компания «Цветная Металлургия», телефон — 8 (800) 777-43-19, дата обновления прайса — 28 мая 2025 года."
"список цен с источником, датой и ценой на ""Резьба DN50мм""","42.12 р, 53.77 р",,metal100.ru,nnovgorod.metal100.ru
"список цен с источником, датой и ценой на ""Резьба DN50мм""",53.77 р,21 июля 2025,etm.ru,"etm.ru. Резьба стальная оцинкованная правая Ду50 из ВГП труб 3262-75, цена — 53,77 рубля за штуку, источник — интернет-магазин «ЭТМ iPRO», дата — 21 июля 2025 года."
"список цен с источником, датой и ценой на ""Резьба DN50мм""","53.77 р, 218 р",,etm.ru,etm.ru
"список цен с источником, датой и ценой на ""Резьба DN50мм""",218 р,,yandex.ru,"market.yandex.ru. Резьба стальная оцинкованная АС Ду 50, ГОСТ 3262-75, L=47 мм, цена — 218 рублей за штуку, источник — ПВЗ, дата — 29 июля."
"список цен с источником, датой и ценой на ""Резьба DN50мм""","218 р, 50Р, 61.44 р",,yandex.ru,market.yandex.ru
"список цен с источником, датой и ценой на ""Резьба DN50мм""","50Р, 61.44 р",1 августа 2025,DN.ru,"DN.ru. Резьба стальная 2″ Ду50 Ру16 L=45 мм, цена — 61,44 рубля за штуку, источник — сайт, дата — 1 августа 2025 года."
"список цен с источником, датой и ценой на ""Резьба DN50мм""","50Р, 61.44 р",,DN.ru,DN.ru
